INF;OTT.SIN.PE1;OTT.SIN.PE2;OTT.SIN.PE3;OTT.PLU.PE1;OTT.PLU.PE2;OTT.PLU.PE3;OVT.SIN.PE1;OVT.SIN.PE2;OVT.SIN.PE3;OVT.PLU.PE1;OVT.PLU.PE2;OVT.PLU.PE3;VTT.SIN.PE1;VTT.SIN.PE2;VTT.SIN.PE3;VTT.PLU.PE1;VTT.PLU.PE2;VTT.PLU.PE3;EXE
roken;rookt;rookt;rookt;roken;roken;roken;rookte/-n;;;;;;heb gerookt;hebt gerookt;heeft gerookt;hebben gerookt;hebben gerookt;hebben gerookt;Waar kan ik hier roken?
ruiken;ruikt;ruikt;ruikt;ruiken;ruiken;ruiken;rook/roken;;;;;;heb geroken;hebt geroken;heeft geroken;hebben geroken;hebben geroken;hebben geroken;Het ruikt hier een beetje muf.
scheiden;scheidt;scheidt;scheidt;scheiden;scheiden;scheiden;scheidde/-n;;;;;;heb/ben gescheiden;hebt/bent gescheiden;heeft/is gescheiden;hebben/zijn gescheiden;hebben/zijn gescheiden;hebben/zijn gescheiden;Hij is 3 jaar gescheiden.
schenken;schenkt;schenkt;schenkt;schenken;schenken;schenken;schonk/-en;;;;;;heb geschonken;hebt geschonken;heeft geschonken;hebben geschonken;hebben geschonken;hebben geschonken;Ze schonk haar hele vermogen aan de kerk. 
scheren;scheert;scheert;scheert;scheren;scheren;scheren;schoor;schoor;schoor;schoren;schoren;schoren;heb geschoren;hebt geschoren;heeft geschoren;hebben geschoren;hebben geschoren;hebben geschoren;Hij heeft zich al twee weken niet geschoren.
schrijven;schrijft;schrijft;schrijft;schrijven;schrijven;schrijven;schreef;schreef;schreef;schreven;schreven;schreven;heb geschreven;hebt geschreven;heeft geschreven;hebben geschreven;hebben geschreven;hebben geschreven;Schrijf je dat met een hoofdletter? 
schrikken;schrikt;schrikt;schrikt;schrikken;schrikken;schrikken;schrok/-ken;;;;;;ben geschrokken;bent geschrokken;is geschrokken;zijn geschrokken;zijn geschrokken;zijn geschrokken;Ik ben van een harde knal geschrokken.
schuiven;schuift;schuift;schuift;schuiven;schuiven;schuiven;schoof/schoven;;;;;;heb geschoven;hebt geschoven;heeft geschoven;hebben geschoven;hebben geschoven;hebben geschoven;De lange rij bezoekers schoof naar de ingang. 
slaan;sla;slaat;slaat;slaan;slaan;slaan;sloeg/-en;;;;;;heb geslagen;hebt geslagen;heeft geslagen;hebben geslagen;hebben geslagen;hebben geslagen;De klok in de woonkamer slaat elk uur.
slagen;slaagt;slaagt;slaagt;slagen;slagen;slagen;slaagde/-n;;;;;;ben geslaagd;bent geslaagd;is geslaagd;zijn geslaagd;zijn geslaagd;zijn geslaagd;Ik ben voor de test geslaagd.
slapen;slaapt;slaapt;slaapt;slapen;slapen;slapen;sliep/-en;;;;;;heb geslapen;hebt geslapen;heeft geslapen;hebben geslapen;hebben geslapen;hebben geslapen;Het jongere slaapt.
sluiten;sluit;sluit;sluit;sluiten;sluiten;sluiten;sloot/sloten;;;;;;heb gesloten;hebt gesloten;heeft gesloten;hebben gesloten;hebben gesloten;hebben gesloten;De deur sluit automatisch.
smelten;smelt;smelt;smelt;smelten;smelten;smelten;smolt/-en;;;;;;heb gesmolten;hebt gesmolten;heeft gesmolten;hebben gesmolten;hebben gesmolten;hebben gesmolten;De sneeuw is al gesmolten.
smijten;smijt;smijt;smijt;smijten;smijten;smijten;smeet;smeet;smeet;smeten;smeten;smeten;heb gesmeten;hebt gesmeten;heeft gesmeten;hebben gesmeten;hebben gesmeten;hebben gesmeten;Je spullen op tafel smijten.
snijden;snijdt;snijdt;snijdt;snijden;snijden;snijden;sneed;sneed;sneed;sneden;sneden;sneden;heb gesneden;hebt gesneden;heeft gesneden;hebben gesneden;hebben gesneden;hebben gesneden;Ik heb de cake in plakken gesneden.
snuiten;snuit;snuit;snuit;snuiten;snuiten;snuiten;snoot;snoot;snoot;snoten;snoten;snoten;heb gesnoten;hebt gesnoten;heeft gesnoten;hebben gesnoten;hebben gesnoten;hebben gesnoten;Je neus snuiten.
spreken;spreekt;spreekt;spreekt;spreken;spreken;spreken;sprak/-en;;;;;;heb gesproken;hebt gesproken;heeft gesproken;hebben gesproken;hebben gesproken;hebben gesproken;Wij hebben over werk gesproken.
springen;springt;springt;springt;springen;springen;springen;sprong/-en;;;;;;heb gesprongen;hebt gesprongen;heeft gesprongen;hebben gesprongen;hebben gesprongen;hebben gesprongen;Het paard springt over de hindernis.
staan;sta;staat;staat;staan;staan;staan;stond/-en;;;;;;heb gestaan;hebt gestaan;heeft gestaan;hebben gestaan;hebben gestaan;hebben gestaan;Ons huis staat op een groot parcel.
stappen;stapt;stapt;stapt;stappen;stappen;stappen;stapte/-n;;;;;;heb gestapt;hebt gestapt;heeft gestapt;hebben gestapt;hebben gestapt;hebben gestapt;Hij stapt in zijn bed.
steken;steekt;steekt;steekt;steken;steken;steken;stak/-en;;;;;;heb gestoken;hebt gestoken;heeft gestoken;hebben gestoken;hebben gestoken;hebben gestoken;Ze steekt de sleutel in het slot.
stelen;steelt;steelt;steelt;stelen;stelen;stelen;stal/-en;;;;;;heb gestolen;hebt gestolen;heeft gestolen;hebben gestolen;hebben gestolen;hebben gestolen;Iemand heeft mijn portemonnee in de bus gestolen.
sterven;sterft;sterft;sterft;sterven;sterven;sterven;stierf;stierf;stierf;stierven;stierven;stierven;ben gestorven;bent gestorven;is gestorven;zijn gestorven;zijn gestorven;zijn gestorven;De oude man is vredig gestorven.
stijgen;stijgt;stijgt;stijgt;stijgen;stijgen;stijgen;steeg;steeg;steeg;stegen;stegen;stegen;ben gestegen;bent gestegen;is gestegen;zijn gestegen;zijn gestegen;zijn gestegen;De verkoop is licht gestegen in december. (?)
stinken;stinkt;stinkt;stinkt;stinken;stinken;stinken;stonk/-en;;;;;;heb gestonken;hebt gestonken;heeft gestonken;hebben gestonken;hebben gestonken;hebben gestonken;De vis begint aan de kop te stinken.
stoppen;stopt;stopt;stopt;stoppen;stoppen;stoppen;stopte/-n;;;;;;ben gestopt;bent gestopt;is gestopt;zijn gestopt;zijn gestopt;zijn gestopt;Hij heeft roken van wit gestopt.
strijken;strijkt;strijkt;strijkt;strijken;strijken;strijken;streek;streek;streek;streken;streken;streken;heb gestreken;hebt gestreken;heeft gestreken;hebben gestreken;hebben gestreken;hebben gestreken;De man strijkt zijn broek.
sturen;stuurt;stuurt;stuurt;sturen;sturen;sturen;stuurde/-n;;;;;;heb gestuurd;hebt gestuurd;heeft gestuurd;hebben gestuurd;hebben gestuurd;hebben gestuurd;Ik heb mijn moeder een brief gestuurd.
trakteren;trakteert;trakteert;trakteert;trakteren;trakteren;trakteren;trakteerde/-n;;;;;;heb getrakteerd;hebt getrakteerd;heeft getrakteerd;hebben getrakteerd;hebben getrakteerd;hebben getrakteerd;Ik heb iedereen op een drankje getrakteerd.
treden;treed/t;treedt;treedt;treden;treden;treden;trad/-en;;;;;;heb/ben getreden;hebt/bent getreden;heeft/is getreden;hebben/zijn getreden;hebben/zijn getreden;hebben/zijn getreden;
trekken;trek/t;trekt;trekt;trekken;trekken;trekken;trok/-ken;;;;;;heb/ben getrokken;hebt/bent getrokken;heeft/is getrokken;hebben/zijn getrokken;hebben/zijn getrokken;hebben/zijn getrokken;
trouwen;trouwt;trouwt;trouwt;trouwen;trouwen;trouwen;trouwde/-n;;;;;;ben getrouwd;bent getrouwd;is getrouwd;zijn getrouwd;zijn getrouwd;zijn getrouwd;We zijn in mei getrouwd. 
uploaden;uploadt;uploadt;uploadt;uploaden;uploaden;uploaden;uploadde/-n;;;;;;heb geüpload ;hebt geüpload ;heeft geüpload ;hebben geüpload ;hebben geüpload ;hebben geüpload ;Ik heb de foto op Facebook geüpload.
vallen;valt;valt;valt;vallen;vallen;vallen;viel/-en;;;;;;ben gevallen;bent gevallen;is gevallen;zijn gevallen;zijn gevallen;zijn gevallen;De ster is gevallen.
vangen;vangt;vangt;vangt;vangen;vangen;vangen;ving/-en;;;;;;heb gevangen;hebt gevangen;heeft gevangen;hebben gevangen;hebben gevangen;hebben gevangen;Je hebt een bal gevangen.
varen;vaart;vaart;vaart;varen;varen;varen;voer/-en;;;;;;heb/ben gevaren;hebt/bent gevaren;heeft/is gevaren;hebben/zijn gevaren;hebben/zijn gevaren;hebben/zijn gevaren;Ik heb op zee mijn leven lang gevaren.
vechten;vecht;vecht;vecht;vechten;vechten;vechten;vocht/-en;;;;;;heb gevochten;hebt gevochten;heeft gevochten;hebben gevochten;hebben gevochten;hebben gevochten;We hebben in oorlog gevochten.
veranderen;verandert;verandert;verandert;veranderen;veranderen;veranderen;veranderde/-n;;;;;;ben veranderd;bent veranderd;is veranderd;zijn veranderd;zijn veranderd;zijn veranderd;Jullie zijn van gedachten veranderd.
verbieden;verbiedt;verbiedt;verbiedt;verbieden;verbieden;verbieden;verbood;verbood;verbood;verboden;verboden;verboden;heb verboden;hebt verboden;heeft verboden;hebben verboden;hebben verboden;hebben verboden;Het land heeft het gebruik van de gevaarlijke stof verboden.
verdwijnen;verdwijnt;verdwijnt;verdwijnt;verdwijnen;verdwijnen;verdwijnen;verdween;verdween;verdween;verdwenen;verdwenen;verdwenen;ben verdwenen;bent verdwenen;is verdwenen;zijn verdwenen;zijn verdwenen;zijn verdwenen;De zon heeft achter een wolk verdwenen.
vergelijken;vergelijkt;vergelijkt;vergelijkt;vergelijken;vergelijken;vergelijken;vergeleek;vergeleek;vergeleek;vergeleken;vergeleken;vergeleken;heb vergeleken;hebt vergeleken;heeft vergeleken;hebben vergeleken;hebben vergeleken;hebben vergeleken;Ik heb alle telefoons vergeleken.
vergeten;vergeet;vergeet;vergeet;vergeten;vergeten;vergeten;vergat/-en;;;;;;heb/ben vergeten;hebt/bent vergeten;heeft/is vergeten;hebben/zijn vergeten;hebben/zijn vergeten;hebben/zijn vergeten;Ik ben mijn handschoenen vergeten.
verhuizen;verhuist;verhuist;verhuist;verhuizen;verhuizen;verhuizen;verhuisde/-n;;;;;;ben verhuisd;bent verhuisd;is verhuisd;zijn verhuisd;zijn verhuisd;zijn verhuisd;Mijn ouders zijn sinds hun huwelijk nooit verhuisd.
verliezen;verliest;verliest;verliest;verliezen;verliezen;verliezen;verloor/-en;;;;;;heb/ben verloren;hebt/bent verloren;heeft/is verloren;hebben/zijn verloren;hebben/zijn verloren;hebben/zijn verloren;Ik heb mijn sleutels verloren. 
vertellen;vertelt;vertelt;vertelt;vertellen;vertellen;vertellen;vertelde/-n;;;;;;heb verteld;hebt verteld;heeft verteld;hebben verteld;hebben verteld;hebben verteld;Je hebt me dit niet verteld.
vertrekken;vertrekt;vertrekt;vertrekt;vertrekken;vertrekken;vertrekken;vertrok/-ken;;;;;;ben vertrokken;bent vertrokken;is vertrokken;zijn vertrokken;zijn vertrokken;zijn vertrokken;De trein is vanaf platform 8A vertrokken.
verzinnen;verzint;verzint;verzint;verzinnen;verzinnen;verzinnen;verzon/-nen;;;;;;heb verzonnen;hebt verzonnen;heeft verzonnen;hebben verzonnen;hebben verzonnen;hebben verzonnen;Ik heb een cadeautje voor jij verzonnen.
verzoeken;verzoekt;verzoekt;verzoekt;verzoeken;verzoeken;verzoeken;verzocht/-en;;;;;;heb verzocht;hebt verzocht;heeft verzocht;hebben verzocht;hebben verzocht;hebben verzocht;Hij heeft om te vertrekken verzocht.
vinden;vindt;vindt;vindt;vinden;vinden;vinden;vond/-en;;;;;;heb gevonden;hebt gevonden;heeft gevonden;hebben gevonden;hebben gevonden;hebben gevonden;Ik heb dit niet leuk gevonden.
vliegen;vliegt;vliegt;vliegt;vliegen;vliegen;vliegen;vloog;vloog;vloog;vlogen;vlogen;vlogen;heb/ben gevlogen;hebt/bent gevlogen;heeft/is gevlogen;hebben/zijn gevlogen;hebben/zijn gevlogen;hebben/zijn gevlogen;Het vliegtuig heeft gevlogen.
vragen;vraagt;vraagt;vraagt;vragen;vragen;vragen;vroeg/-en;;;;;;heb gevraagd;hebt gevraagd;heeft gevraagd;hebben gevraagd;hebben gevraagd;hebben gevraagd;Ik heb er niet naar gevraagd.
vriezen;vriest;vriest;vriest;vriezen;vriezen;vriezen;vroor/-en;;;;;;heb/ben gevroren;hebt/bent gevroren;heeft/is gevroren;hebben/zijn gevroren;hebben/zijn gevroren;hebben/zijn gevroren;Het water is gevroren.
waaien;waait;waait;waait;waaien;waaien;waaien;woei/-en waaide/-n;;;;;;heb gewaaid;hebt gewaaid;heeft gewaaid;hebben gewaaid;hebben gewaaid;hebben gewaaid;Morgen zal de wind uit het westen waaien.
werken;werkt;werkt;werkt;werken;werken;werken;werkte/-n;;;;;;heb gewerkt;hebt gewerkt;heeft gewerkt;hebben gewerkt;hebben gewerkt;hebben gewerkt;Het systeem werkt efficiënt.
weten;weet;weet;weet;weten;weten;weten;wist/-en;;;;;;heb geweten;hebt geweten;heeft geweten;hebben geweten;hebben geweten;hebben geweten;Ik weet het niet.
willen;wil;wil(wilt);wil;willen;willen;willen;wilde/-n;;;;;;heb gewild;hebt gewild;heeft gewild;hebben gewild;hebben gewild;hebben gewild;Ik wil het niet hebben!
winnen;wint;wint;wint;winnen;winnen;winnen;won/-nen;;;;;;heb gewonnen;hebt gewonnen;heeft gewonnen;hebben gewonnen;hebben gewonnen;hebben gewonnen;Ik heb de auto gewonnen.
wonen;woont;woont;woont;wonen;wonen;wonen;woonde/-n;;;;;;heb gewoond;hebt gewoond;heeft gewoond;hebben gewoond;hebben gewoond;hebben gewoond;Ik heb niet in Amsterdam gewoond.
worden;wordt;wordt;wordt;worden;worden;worden;werd/-en;;;;;;ben geworden;bent geworden;is geworden;zijn geworden;zijn geworden;zijn geworden;Mijn dochter wil dokter worden.
zakken;zakt;zakt;zakt;zakken;zakken;zakken;zakte/-n;;;;;;ben gezakt;bent gezakt;is gezakt;zijn gezakt;zijn gezakt;zijn gezakt;Helaas ben ik voor de test gezakt.
zeggen;zegt;zegt;zegt;zeggen;zeggen;zeggen;zei/-den;;;;;;heb gezegd;hebt gezegd;heeft gezegd;hebben gezegd;hebben gezegd;hebben gezegd;Hij zegt zijn zoon dat …
zien;ziet;ziet;ziet;zien;zien;zien;zag/-en;;;;;;heb gezien;hebt gezien;heeft gezien;hebben gezien;hebben gezien;hebben gezien;Ik heb je gezien.
zijn;ben;bent;is;zijn;zijn;zijn;was/waren;;;;;;ben geweest;bent geweest;is geweest;zijn geweest;zijn geweest;zijn geweest;
zitten;zit;zit;zit;zitten;zitten;zitten;zat/-en;;;;;;heb gezeten;hebt gezeten;heeft gezeten;hebben gezeten;hebben gezeten;hebben gezeten;We zitten in de lift.
zoeken;zoekt;zoekt;zoekt;zoeken;zoeken;zoeken;zocht/-en;;;;;;heb gezocht;hebt gezocht;heeft gezocht;hebben gezocht;hebben gezocht;hebben gezocht;Ik zal het boek zoeken in de bibliotheek.
zullen;zal;zal(zult);zal;zullen;zullen;zullen;zou/den;;;;;;NULL NULL;NULL NULL;NULL NULL;NULL NULL;NULL NULL;NULL NULL;Zullen we dansen?
zoeken;zoekt;zoekt;zoekt;zoeken;zoeken;zoeken;zocht/-en;;;;;;heb gezocht;hebt gezocht;heeft gezocht;hebben gezocht;hebben gezocht;hebben gezocht;
verraden;verraadt;verraadt;verraadt;verraden;verraden;verraden;verraadde/-n verried/-en;;;;;;heb verraden;hebt verraden;heeft verraden;hebben verraden;hebben verraden;hebben verraden;
graven;graaft;graaft;graaft;graven;graven;graven;groef/groeven;;;;;;heb gegraven;hebt gegraven;heeft gegraven;hebben gegraven;hebben gegraven;hebben gegraven;
schieten;schiet;schiet;schiet;schieten;schieten;schieten;schoot/schoten;;;;;;heb geschoten;hebt geschoten;heeft geschoten;hebben geschoten;hebben geschoten;hebben geschoten;
versturen;verstuur;verstuurt;verstuurt;versturen;versturen;versturen;verstuurde;verstuurde;verstuurde;verstuurden;verstuurden;verstuurden;heb verstuurd;hebt verstuurd;heeft verstuurd;hebben verstuurd;hebben verstuurd;hebben verstuurd;Ik heb de mail verstuurd.
;;;;;;;;;;;;;;;;;;;
