INF;OTT.SIN.PE1;OTT.SIN.PE2;OTT.SIN.PE3;OTT.PLU.PE1;OTT.PLU.PE2;OTT.PLU.PE3;OVT.SIN.PE1;OVT.SIN.PE2;OVT.SIN.PE3;OVT.PLU.PE1;OVT.PLU.PE2;OVT.PLU.PE3;VTT.SIN.PE1;VTT.SIN.PE2;VTT.SIN.PE3;VTT.PLU.PE1;VTT.PLU.PE2;VTT.PLU.PE3;EXE
blijken;blijkt;blijkt;blijkt;blijken;blijken;blijken;bleek;bleek;bleek;bleken;bleken;bleken;ben gebleken;bent gebleken;is gebleken;zijn gebleken;zijn gebleken;zijn gebleken;Onze veronderstelling bleek juist te zijn.
blijven;blijft;blijft;blijft;blijven;blijven;blijven;bleef;bleef;bleef;bleven;bleven;bleven;ben gebleven;bent gebleven;is gebleven;zijn gebleven;zijn gebleven;zijn gebleven;Waar kon dat gebleven zijn? 
braden;braadt;braadt;braadt;braden;braden;braden;braadde;braadde;braadde;braadden;braadden;braadden;heb gebraden;hebt gebraden;heeft gebraden;hebben gebraden;hebben gebraden;hebben gebraden;Ik heb kip gebraden.
breken;breekt;breekt;breekt;breken;breken;breken;brak;brak;brak;braken;braken;braken;heb/ben gebroken;hebt/bent gebroken;heeft/is gebroken;hebben/zijn gebroken;hebben/zijn gebroken;hebben/zijn gebroken;Breek mijn hart niet.
brengen;brengt;brengt;brengt;brengen;brengen;brengen;bracht;bracht;bracht;brachten;brachten;brachten;heb gebracht;hebt gebracht;heeft gebracht;hebben gebracht;hebben gebracht;hebben gebracht;De ober heeft me een kop thee gebracht.
dalen;daalt;daalt;daalt;dalen;dalen;dalen;daalde;daalde;daalde;daalden;daalden;daalden;ben gedaald;bent gedaald;is gedaald;zijn gedaald;zijn gedaald;zijn gedaald;De verkoop is licht gedaald in december. (?)
denken;denkt;denkt;denkt;denken;denken;denken;dacht;dacht;dacht;dachten;dachten;dachten;heb gedacht;hebt gedacht;heeft gedacht;hebben gedacht;hebben gedacht;hebben gedacht;Ik denk het niet.
doen;doet;doet;doet;doen;doen;doen;deed;deed;deed;deden;deden;deden;heb gedaan;hebt gedaan;heeft gedaan;hebben gedaan;hebben gedaan;hebben gedaan;Wat heb je gedaan?
dragen;draagt;draagt;draagt;dragen;dragen;dragen;droeg;droeg;droeg;droegen;droegen;droegen;heb gedragen;hebt gedragen;heeft gedragen;hebben gedragen;hebben gedragen;hebben gedragen;Ze draagt haaar grijze haar in een knot.
drinken;drinkt;drinkt;drinkt;drinken;drinken;drinken;dronk;dronk;dronk;dronken;dronken;dronken;heb gedronken;hebt gedronken;heeft gedronken;hebben gedronken;hebben gedronken;hebben gedronken;Ik drink geen alcohol.
duiken;duikt;duikt;duikt;duiken;duiken;duiken;dook;dook;dook;doken;doken;doken;heb/ben gedoken;hebt/bent gedoken;heeft/is gedoken;hebben/zijn gedoken;hebben/zijn gedoken;hebben/zijn gedoken;
ervaren;ervaart;ervaart;ervaart;ervaren;ervaren;ervaren;ervoer;ervoer;ervoer;ervoeren;ervoeren;ervoeren;heb ervaren;hebt ervaren;heeft ervaren;hebben ervaren;hebben ervaren;hebben ervaren;Ik heb het leven op het platteland ervaren. 
eten;eet;eet;eet;eten;eten;eten;at;at;at;aten;aten;aten;heb gegeten;hebt gegeten;heeft gegeten;hebben gegeten;hebben gegeten;hebben gegeten;Voor het ontbijt hebben we roerei.
fietsen;fietst;fietst;fietst;fietsen;fietsen;fietsen;fietste;fietste;fietste;fietsten;fietsten;fietsten;heb gefietst;hebt gefietst;heeft gefietst;hebben gefietst;hebben gefietst;hebben gefietst;
fluiten;fluit;fluit;fluit;fluiten;fluiten;fluiten;floot;floot;floot;floten;floten;floten;heb gefloten;hebt gefloten;heeft gefloten;hebben gefloten;hebben gefloten;hebben gefloten;Ze kan veel liedjes fluiten.
gaan;ga;gaat;gaat;gaan;gaan;gaan;ging;ging;ging;gingen;gingen;gingen;ben gegaan;bent gegaan;is gegaan;zijn gegaan;zijn gegaan;zijn gegaan;Ga naar huis.
gebeuren;;;het gebeurt;;;;;;het gebeurde;;;;ben het is gebeurd;bent het is gebeurd;is het is gebeurd;zijn het is gebeurd;zijn het is gebeurd;zijn het is gebeurd;Wat is er gebeurd?
gelden;geldt;geldt;geldt;gelden;gelden;gelden;gold;gold;gold;golden;golden;golden;heb gegolden;hebt gegolden;heeft gegolden;hebben gegolden;hebben gegolden;hebben gegolden;Hier gelden andere regels.
genezen;geneest;geneest;geneest;genezen;genezen;genezen;genas;genas;genas;genazen;genazen;genazen;heb/ben genezen;hebt/bent genezen;heeft/is genezen;hebben/zijn genezen;hebben/zijn genezen;hebben/zijn genezen;Ik moet genezen. (Ik ben ziek)
genieten;geniet;geniet;geniet;genieten;genieten;genieten;genoot;genoot;genoot;genoten;genoten;genoten;heb genoten;hebt genoten;heeft genoten;hebben genoten;hebben genoten;hebben genoten;Ontzettend bedankt, ik heb echt genoten.
geven;geeft;geeft;geeft;geven;geven;geven;gaf;gaf;gaf;gaven;gaven;gaven;heb gegeven;hebt gegeven;heeft gegeven;hebben gegeven;hebben gegeven;hebben gegeven;Geef het terug.
hangen;hangt;hangt;hangt;hangen;hangen;hangen;hing;hing;hing;hingen;hingen;hingen;heb gehangen;hebt gehangen;heeft gehangen;hebben gehangen;hebben gehangen;hebben gehangen;Hang je jas aan de kapstok.
hebben;heb;hebt;heeft;hebben;hebben;hebben;had;had;had;hadden;hadden;hadden;heb gehad;hebt gehad;heeft gehad;hebben gehad;hebben gehad;hebben gehad;Hij heeft een fiets gehad.
helpen;helpt;helpt;helpt;helpen;helpen;helpen;hielp/-en;;;hielpen;hielpen;hielpen;heb geholpen;hebt geholpen;heeft geholpen;hebben geholpen;hebben geholpen;hebben geholpen;Kunt u mij helpen?
herhalen;herhaalt;herhaalt;herhaalt;herhalen;herhalen;herhalen;herhaalde/-n;;;herhaalden;herhaalden;herhaalden;heb herhaald;hebt herhaald;heeft herhaald;hebben herhaald;hebben herhaald;hebben herhaald;Wij hebben de woorden herhaald.
heten;heet;heet;heet;heten;heten;heten;heette/-n;;;heetten;heetten;heetten;heb geheten;hebt geheten;heeft geheten;hebben geheten;hebben geheten;hebben geheten;Ik heet Jacek.
houden;hou(houd);houdt;houdt;houden;houden;houden;hield/-en;;;hielden;hielden;hielden;heb gehouden;hebt gehouden;heeft gehouden;hebben gehouden;hebben gehouden;hebben gehouden;Hou me vast.
kennen;kent;kent;kent;kennen;kennen;kennen;kende/-n;;;kenden;kenden;kenden;heb gekend;hebt gekend;heeft gekend;hebben gekend;hebben gekend;hebben gekend;Ik ken hem niet. Ik zie hem voor de eerste keer.
kiezen;kiest;kiest;kiest;kiezen;kiezen;kiezen;koos;koos;koos;kozen;kozen;kozen;heb gekozen;hebt gekozen;heeft gekozen;hebben gekozen;hebben gekozen;hebben gekozen;Kies bewust.
kijken;kijkt;kijkt;kijkt;kijken;kijken;kijken;keek;keek;keek;keken;keken;keken;heb gekeken;hebt gekeken;heeft gekeken;hebben gekeken;hebben gekeken;hebben gekeken;Hij kijkt naar het nieuws op televisie.
klimmen;klimt;klimt;klimt;klimmen;klimmen;klimmen;klom;klom;klom;klommen;klommen;klommen;heb geklommen;hebt geklommen;heeft geklommen;hebben geklommen;hebben geklommen;hebben geklommen;Hij klimt snel naar de top.
klinken;klinkt;klinkt;klinkt;klinken;klinken;klinken;klonk/-en;;;klonken;klonken;klonken;heb geklonken;hebt geklonken;heeft geklonken;hebben geklonken;hebben geklonken;hebben geklonken;Het klinkt bekend.
koken;kookt;kookt;kookt;koken;koken;koken;kookte/-n;;;kookten;kookten;kookten;heb gekookt;hebt gekookt;heeft gekookt;hebben gekookt;hebben gekookt;hebben gekookt;Jullie hebben smakelijk diner gekookt.
