sortir| [sound:sortir.mp3]| to go out, leave
tomber| [sound:tomber.mp3]| to fall
descendre| [sound:descendre.mp3]| to descend go down, take down, bring down
devenir| [sound:devenir.mp3]| to become
partir| [sound:partir.mp3]| to leave, go away
parvenir| [sound:parvenir.mp3]| to reach, send, achieve
passer| [sound:passer.mp3]| to go, take, pass, spend time (numerous uses, common in expressions)
rentrer| [sound:rentrer.mp3]| to return (to a place)
rester| [sound:rester.mp3]| to remain, stay, be left (over)


revenir| [sound:revenir.mp3]| to come back
venir| [sound:venir.mp3]| to come
avoir| [sound:avoir.mp3]| to have
être| [sound:%C3%AAtre.mp3]| to be
faire| [sound:faire.mp3]| to make, do
pouvoir| [sound:pouvoir.mp3]| to be able, can
devoir| [sound:devoir.mp3]| to have to, must, ought, owe, should
vouloir| [sound:vouloir.mp3]| to want
abaisser| [sound:abaisser.mp3]| to lower, reduce, humilitate, humble
abasourdir| [sound:abasourdir.mp3]| to daze, deafen, stun, bewilder, stupefy
abattre| [sound:abattre.mp3]| to knock, pull, cut, shoot, or bring down, slaughter<br />to dishearten
abolir| [sound:abolir.mp3]| to abolish, do away with
absoudre| [sound:absoudre.mp3]| to absolve
s'abstenir| [sound:s%27abstenir.mp3]| to abstain
accepter| [sound:accepter.mp3]| to accept
acclamer| [sound:acclamer.mp3]| to acclaim, cheer, applaud
accompagner| [sound:accompagner.mp3]| to accompany
accorder| [sound:accorder.mp3]| to accord, grant, reconcile, admit
accourir| [sound:accourir.mp3]| to run to, run up to
accrocher| [sound:accrocher.mp3]| to hang (up)
accueillir| [sound:accueillir.mp3]| to welcome
accuser| [sound:accuser.mp3]| to accuse, acknowledge
achever| [sound:achever.mp3]| to achieve, complete, finish, end
acquérir| [sound:acqu%C3%A9rir.mp3]| to acquire
adjoindre| [sound:adjoindre.mp3]| to appoint (as on a team, position, etc.)
admettre| [sound:admettre.mp3]| to admit, pass, suppose
admirer| [sound:admirer.mp3]| to admire
adorer| [sound:adorer.mp3]| to adore, worship
adresser| [sound:adresser.mp3]| to address, send
affaiblir| [sound:affaiblir.mp3]| to weaken
agacer| [sound:agacer.mp3]| to annoy, irritate, pester, vex
agir| [sound:agir.mp3]| to act/behave, take effect
aménager| [sound:am%C3%A9nager.mp3]| to fit out, lay out, develop, plan, adjust
amener| [sound:amener.mp3]| to bring<br />to lead<br /> <br />*<b>amener</b> is generally used with people, <b>apporter</b> with things.
amuser| [sound:amuser.mp3]| to amuse, entertain
animer| [sound:animer.mp3]| to host, present, lead, bring to life, drive, sustain
annoncer| [sound:annoncer.mp3]| to announce
apercevoir| [sound:apercevoir.mp3]| to perceive
apparaître| [sound:appara%C3%AEtre.mp3]| to appear
appartenir| [sound:appartenir.mp3]| to belong, pertain
mémoriser| [sound:m%C3%A9moriser.mp3]| to memorize
approcher| [sound:approcher.mp3]| to approach, to come near, to bring near
approuver| [sound:approuver.mp3]| to approve (of)
armer| [sound:armer.mp3]| to arm
arracher| [sound:arracher.mp3]| to pull up/out, uproot
arraisonner| [sound:arraisonner.mp3]| to board
arranger| [sound:arranger.mp3]| to arrange
assaillir| [sound:assaillir.mp3]| to assail, attack, beset
s'asseoir| [sound:s%27asseoir.mp3]| to sit down
assister| [sound:assister.mp3]| to attend| to assist (at)| to be present (at)
assurer| [sound:assurer.mp3]| to assure, ensure, insure, guarantee
astreindre| [sound:astreindre.mp3]| to compel, oblige
attaquer| [sound:attaquer.mp3]| to attack, contest, tackle, launch, start work on
atteindre| [sound:atteindre.mp3]| to attain
attirer| [sound:attirer.mp3]| to attract, allure
attraper| [sound:attraper.mp3]| to catch
augmenter| [sound:augmenter.mp3]| to augment, increase
avancer| [sound:avancer.mp3]| to advance, go forward
avoir raison| [sound:avoir+raison.mp3]| to be right
baisser| [sound:baisser.mp3]| to lower, sink
balancer| [sound:balancer.mp3]| to sway, balance, swing<br />to weigh<br />to throw away
balayer| [sound:balayer.mp3]| to sweep
bâtir| [sound:b%C3%A2tir.mp3]| to build
battre| [sound:battre.mp3]| to beat
bavarder| [sound:bavarder.mp3]| to chat
bêler| [sound:b%C3%AAler.mp3]| to whine (like a sheep)
bénir| [sound:b%C3%A9nir.mp3]| to bless
blaguer| [sound:blaguer.mp3]| to joke
blâmer| [sound:bl%C3%A2mer.mp3]| to blame
blanchir| [sound:blanchir.mp3]| to whiten, launder, exonerate
bouger| [sound:bouger.mp3]| to budge, move
bouillir| [sound:bouillir.mp3]| to boil
briser| [sound:briser.mp3]| to break, ruin (career, life), put an end to
brosser| [sound:brosser.mp3]| to brush
broyer| [sound:broyer.mp3]| to grind
casser| [sound:casser.mp3]| to break, crack, quash
causer| [sound:causer.mp3]| to chat, cause
céder| [sound:c%C3%A9der.mp3]| to yield, cede, give up
ceindre| [sound:ceindre.mp3]| to put on
célébrer| [sound:c%C3%A9l%C3%A9brer.mp3]| to celebrate
cesser| [sound:cesser.mp3]| to cease
chanter| [sound:chanter.mp3]| to sing
charger| [sound:charger.mp3]| to burden, charge, load
chasser| [sound:chasser.mp3]| to hunt, chase, drive out
cheminer| [sound:cheminer.mp3]| to walk along, follow its course
chercher| [sound:chercher.mp3]| to look for
chérir| [sound:ch%C3%A9rir.mp3]| to cherish
chuchoter| [sound:chuchoter.mp3]| to whisper
circoncire| [sound:circoncire.mp3]| to circumcise
circonscrire| [sound:circonscrire.mp3]| to contain
circonvenir| [sound:circonvenir.mp3]| to circumvent| to get around
clore| [sound:clore.mp3]| to close, end 
coller| [sound:coller.mp3]| to stick, paste, put
combattre| [sound:combattre.mp3]| to combat, fight
commander| [sound:commander.mp3]| to command, order
commettre| [sound:commettre.mp3]| to commit
comparaître| [sound:compara%C3%AEtre.mp3]| to appear in court 
comparer| [sound:comparer.mp3]| to compare
élire| [sound:%C3%A9lire.mp3]| to elect, choose
s'éloigner| [sound:s%27%C3%A9loigner.mp3]| to move away, go away, withdraw, step back, keep back, keep away
embrasser| [sound:embrasser.mp3]| to kiss, embrace
emmener| [sound:emmener.mp3]| to lead, lead away, take away (persons)
empêcher| [sound:emp%C3%AAcher.mp3]| to hinder, prevent
employer| [sound:employer.mp3]| to employ, use
emprunter| [sound:emprunter.mp3]| to borrow (from)
encourager| [sound:encourager.mp3]| to encourage
endormir| [sound:endormir.mp3]| to fall asleep
enfreindre| [sound:enfreindre.mp3]| to infringe
s'enfuir| [sound:s%27enfuir.mp3]| to run away, slip away, escape, flee, fly away
engager| [sound:engager.mp3]| to commit, bind
enjoindre| [sound:enjoindre.mp3]| to enjoin, forbid, prohibit, command
ennuyer| [sound:ennuyer.mp3]| to bore, annoy, weary| | s'ennuyer = to be bored
énoncer| [sound:%C3%A9noncer.mp3]| to express, state
s'enquérir| [sound:s%27enqu%C3%A9rir.mp3]| to inquire
enregistrer| [sound:enregistrer.mp3]| to record, register, enter, show
enterrer| [sound:enterrer.mp3]| to bury
entraîner| [sound:entra%C3%AEner.mp3]| to train, bring about, lead
entreprendre| [sound:entreprendre.mp3]| to undertake, engage upon
entretenir| [sound:entretenir.mp3]| to look after
entrouvrir| [sound:entrouvrir.mp3]| to half-open
s'envoler| [sound:s%27envoler.mp3]| to take flight, take off
épeler| [sound:%C3%A9peler.mp3]| to spell
épouser| [sound:%C3%A9pouser.mp3]| to marry
éprouver| [sound:%C3%A9prouver.mp3]| to try, test, put to the test, feel, experience
équivaloir| [sound:%C3%A9quivaloir.mp3]| to be equivalent to
essuyer| [sound:essuyer.mp3]| to wipe, dust, wipe up
estimer| [sound:estimer.mp3]| to estimate
établir| [sound:%C3%A9tablir.mp3]| to establish, set up, draw up
éteindre| [sound:%C3%A9teindre.mp3]| to extinguish, shut down (computer), turn off
étonner| [sound:%C3%A9tonner.mp3]| to amaze, astonish, stun, surprise
étourdir| [sound:%C3%A9tourdir.mp3]| to stun, daze, make dizzy, deafen, bewilder
étreindre| [sound:%C3%A9treindre.mp3]| to embrace, grip
évaluer| [sound:%C3%A9valuer.mp3]| to evaluate, appraise, assess, estimate
éviter| [sound:%C3%A9viter.mp3]| to avoid
exagérer| [sound:exag%C3%A9rer.mp3]| to exaggerate
exclure| [sound:exclure.mp3]| to expel, suspend, exclude, dismiss
excuser| [sound:excuser.mp3]| to excuse
exiger| [sound:exiger.mp3]| to demand, require
exister| [sound:exister.mp3]| to exist
expliquer| [sound:expliquer.mp3]| to explain
explorer| [sound:explorer.mp3]| to explore
exprimer| [sound:exprimer.mp3]| to express
faiblir| [sound:faiblir.mp3]| to get weaker, fail, get fainter, die down, drop, diminish
faillir| [sound:faillir.mp3]| to fail| to almost (do something)
falloir| [sound:falloir.mp3]| to be necessary| | *MANY various uses, common with expressions
feindre| [sound:feindre.mp3]| to feign, make believe, pretend, simulate
féliciter| [sound:f%C3%A9liciter.mp3]| to congratulate
fendre| [sound:fendre.mp3]| to split, crack, cleave
feuilleter| [sound:feuilleter.mp3]| to leaf through
fixer | [sound:fixer+.mp3]| to fix, set
fonder| [sound:fonder.mp3]| to found, establish, lay the foundation, 
fondre| [sound:fondre.mp3]| to melt, dissolve, mix colors
fouiller| [sound:fouiller.mp3]| to dig deeply, excavate, search
fournir| [sound:fournir.mp3]| to furnish, supply
frapper| [sound:frapper.mp3]| to knock, hit, strike, rap 
frémir| [sound:fr%C3%A9mir.mp3]| to shudder, quiver, tremble
frire | [sound:frire+.mp3]| to deep-fry
gaspiller| [sound:gaspiller.mp3]| to waste
gâter| [sound:g%C3%A2ter.mp3]| to spoil, damage
geindre| [sound:geindre.mp3]| to moan 
geler| [sound:geler.mp3]| to freeze
gêner| [sound:g%C3%AAner.mp3]| to bother, hamper, constrict, embarass, hinder, impede, inconvenience
gérer| [sound:g%C3%A9rer.mp3]| to manage
grandir| [sound:grandir.mp3]| to grow (up, taller), increase
gratter| [sound:gratter.mp3]| to grate, scrape, scratch
grêler| [sound:gr%C3%AAler.mp3]| to hail (ice from the sky)
grimper| [sound:grimper.mp3]| to climb
gronder| [sound:gronder.mp3]| to chide, reprimand, scold
